URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.006    0.002 selector_events.py:1055(write)
      442    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       11    0.000    0.000    0.005    0.000 _connection.py:398(_extract_next_receive_event)
     8258    0.004    0.000    0.005    0.000 _parser.py:164(__len__)
       25    0.005    0.000    0.005    0.000 _asyncio.py:399(__init__)
      382    0.002    0.000    0.005    0.000 enum.py:1562(__and__)
      172    0.002    0.000    0.005    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.005    0.005 _decoders.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:889(selected_alpn_protocol)
        1    0.005    0.005    0.005    0.005 {method 'selected_alpn_protocol' of '_ssl._SSLSocket' objects}
       30    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      236    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.005    0.005 header.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _headers.py:1(<module>)
      472    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        3    0.000    0.000    0.005    0.002 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
        1    0.000    0.000    0.005    0.005 sslproto.py:1(<module>)
     5190    0.003    0.000    0.005    0.000 _parser.py:176(append)
      236    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     1123    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      247    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      274    0.000    0.000    0.005    0.000 typing.py:723(<genexpr>)
        2    0.000    0.000    0.005    0.002 subprocess.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _models.py:1101(extract_cookies)
     9100    0.005    0.000    0.005    0.000 {built-in method builtins.min}
       30    0.000    0.000    0.005    0.000 typing.py:1548(__getitem__)
      442    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:372(release)
     1659    0.002    0.000    0.004    0.000 typing.py:1134(_is_dunder)
        3    0.000    0.000    0.004    0.001 _exceptions.py:1(<module>)
     2481    0.001    0.000    0.004    0.000 css_parser.py:307(match)
      2/1    0.000    0.000    0.004    0.004 threading.py:1016(_bootstrap)
      120    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      136    0.000    0.000    0.004    0.000 css_types.py:203(__init__)
      295    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1857    0.004    0.000    0.004    0.000 {built-in method _imp.release_lock}
        4    0.000    0.000    0.004    0.001 _sockets.py:172(try_connect)
      2/1    0.000    0.000    0.004    0.004 threading.py:1056(_bootstrap_inner)
     5527    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      2/1    0.000    0.000    0.004    0.004 threading.py:999(run)
        1    0.000    0.000    0.004    0.004 thread.py:126(__init__)
      690    0.003    0.000    0.004    0.000 _parser.py:449(_uniq)
     2935    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 base_events.py:610(_do_shutdown)
      471    0.001    0.000    0.004    0.000 typing.py:166(_type_convert)
     2660    0.002    0.000    0.004    0.000 {built-in method builtins.hasattr}
       24    0.000    0.000    0.004    0.000 typing.py:740(Optional)
        4    0.000    0.000    0.004    0.001 _asyncio.py:2619(connect_tcp)
        1    0.004    0.004    0.004    0.004 {built-in method posix.cpu_count}
        2    0.000    0.000    0.004    0.002 threading.py:1115(join)
        5    0.000    0.000    0.004    0.001 _receivebuffer.py:104(maybe_extract_lines)
     1014    0.002    0.000    0.004    0.000 _parser.py:312(_class_escape)
     3785    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.004    0.002 thread.py:219(shutdown)
        4    0.000    0.000    0.004    0.001 base_events.py:1021(create_connection)
        1    0.000    0.000    0.004    0.004 _common.py:1(<module>)
